CRM Proposal ID,Usage ID,Catalog Item ID,Item name,Category,Section,Bundle Status,Usage sort order,Cost,Price,Optional,Quantity,Notes,Set Up Cost,Usage parent ID,Internal Notes,Margin,Indented Item Name,Import Status
03491194-3C86-4956-A05A-FA07717C3D5A,8AA5C7CE-9B03-44D9-B963-83EE9436FEEA,EDAAF814-9525-430C-BF30-CDB3053A4B9E,Fusion LG-Series (RS) 1750,FUSION,Equipment,Not Bundle Item,0,5306.25,6632.81,0,1,Includes one year of Software Support ,0,,"Sell this for a property with 701-1000 rooms. (Requires 8 hrs remote config) - 800WHardware: LG Series Chassis, 24 Core, 32GB RAM, 480GB SSD | RXG-LG | RXG-LG-S | RXG-DPL-1K, RXG-DPL-500, RXG-DPL-200, RXG-DPL-50 | OS: ESXi (w/vSphere Essentials) - Fusion, Caching, OverCast, xDPacket",,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Fusion LG-Series (RS) 1750,updated
03491194-3C86-4956-A05A-FA07717C3D5A,FC6F3EB4-78A9-438E-99C6-CAF558F4BFF6,5B2E3C79-A636-441B-B5B5-9BACC9A1E75C,Fusion Upgrade 10G adapter package - 10GSFP  Adapter - Riser - 2 x 10G Direct-Attached Patch Cable for Fusion,FUSION Misc. 3,Equipment,Not Bundle Item,1,406.4,508,0,2,,0,,"4 items for a Fusion.  ------------------1 Adapter, ------------------------1 Riser from NewEgg, ---------------------------- 2 x 10G Direct-Attached fiber patch cable from the CRM.1.,      https://www.newegg.com/intel-e10g42btda/p/N82E16833106044?Item=9SIA4A04ZV6592&Tpk=9SIA4A04ZV6592     ------------------------------------------------------------------   2.,      https://www.newegg.com/supermicro-rsc-rr1u-e8-riser-card/p/N82E16816101390?item=N82E16816101390&source=region&nm_mc=knc-googleadwords-pc&cm_mmc=knc-googleadwords-pc-_-pla-_-server+-+accessories-_-N82E16816101390&gclid=EAIaIQobChMIwujWueWe5gIVFG6GCh1acghTEAQYASABEgKu7vD_BwE&gclsrc=aw.ds     -------------------------------------------------------------------3.,    This is an SKU in CRM. Needs 2 x for the ""10G NIC package"":     10G-SFPP-TWX-0501   ",,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Fusion Upgrade 10G adapter package - 10GSFP  Adapter - Riser - 2 x 10G Direct-Attached Patch Cable for Fusion,updated
03491194-3C86-4956-A05A-FA07717C3D5A,4F70CF6A-7CBC-400F-8EDB-8E8053141E30,0D9C753A-1BEB-4090-8F27-C0EFF85EF224,Fusion Annual Software Support (RS) LG-Series,Fusion Annual Support,Equipment,Not Bundle Item,2,385,481.25,0,2,,0,,Must ask RGNets to convert the asset from RS to LG before ordering support,,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Fusion Annual Software Support (RS) LG-Series,updated
03491194-3C86-4956-A05A-FA07717C3D5A,397DC14C-5FA6-4870-86C6-143E5C6E8CFC,BECC93C6-B28A-4D7A-B612-83309AADA86D,MikroTik - 1U Rackmount RouterOS L5 - Backup Gateway 15+ rooms,Routers & Gateways,Equipment,Not Bundle Item,3,179,223.75,0,1,,0,,For Westhouse. For properties above 15 rooms - https://mikrotik.com/product/RB3011UiAS-RM,,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===MikroTik - 1U Rackmount RouterOS L5 - Backup Gateway 15+ rooms,updated
03491194-3C86-4956-A05A-FA07717C3D5A,F241A567-C495-45A8-9A14-87A02B22B21E,9272E83B-A2B1-4D1F-AE7F-0B0557F71A22,AP LIC UPGRADE FOR SmartZone 100 or VSCG Per SZ/vSZ AP with Support package - 3 year,RUCKUS Controllers,Equipment,Bundle,4,17543,21932.06,0,1,Includes 331 Licenses,0,,AP + Annual support per AP plus cloud hosting fee for HIS,,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===AP LIC UPGRADE FOR SmartZone 100 or VSCG Per SZ/vSZ AP with Support package - 3 year,updated
03491194-3C86-4956-A05A-FA07717C3D5A,E57CC01D-2D31-4614-8617-A333A567B8F3,616E1679-D0C7-419C-A0AC-3146070C3B13,AP LIC UPGRADE FOR SmartZone 100 or VSCG - 1 AP,RUCKUS Controllers,Equipment,Child of bundle,0,25.5,31.88,0,331,,0,F241A567-C495-45A8-9A14-87A02B22B21E,"AP management license for SZ-100/vSZ 3.X, 1 Ruckus AP access point",,    AP LIC UPGRADE FOR SmartZone 100 or VSCG - 1 AP,updated
03491194-3C86-4956-A05A-FA07717C3D5A,87BF3858-03DB-499A-965D-B76B796B663A,449CEB76-6A14-4D9D-820E-37628D7E4DA5,HSP WatchDog Support Per SZ/vSZ AP - 3 year,RUCKUS Annual Support,Equipment,Child of bundle,1,21,26.25,0,331,,0,F241A567-C495-45A8-9A14-87A02B22B21E,,,    HSP WatchDog Support Per SZ/vSZ AP - 3 year,updated
03491194-3C86-4956-A05A-FA07717C3D5A,7135C6A7-8643-4025-9A99-2BF77F97EA28,7256F1EA-C58C-4EA4-B817-43D798F3720D,vSCG AP Cloud Hosting Fee - 3 years,RUCKUS Annual Support,Equipment,Child of bundle,2,6.5,8.13,0,331,,0,F241A567-C495-45A8-9A14-87A02B22B21E,$0.50 per month per AP fee assessed by HIS to host on our vSCG server,,    vSCG AP Cloud Hosting Fee - 3 years,updated
03491194-3C86-4956-A05A-FA07717C3D5A,98AAEF2C-C864-4853-8037-3D33443F5C11,A5619A1C-4A13-4380-B9A7-0B4B54B8028C,Ruckus R550-xx 11ax Indoor 2x2:2 AP Non-Plenum,RUCKUS Access Points,Equipment,Not Bundle Item,8,258,322.5,0,308,,0,,numbers from the ZD,,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Ruckus R550-xx 11ax Indoor 2x2:2 AP Non-Plenum,updated
03491194-3C86-4956-A05A-FA07717C3D5A,DA304601-5BC1-44D8-AF7B-9AC118073A87,8F5A62C9-C966-4417-B753-362118FD37F1,Ruckus R750 4x4:4 Wi-Fi Dual-Band WAP ,RUCKUS Access Points,Equipment,Not Bundle Item,9,453,566.25,0,23,,0,,Numbers from the ZD - Power adapter not included. Not compatible with ZD 1000 series. ,,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Ruckus R750 4x4:4 Wi-Fi Dual-Band WAP ,updated
03491194-3C86-4956-A05A-FA07717C3D5A,101BF765-B777-44A6-8E1F-837A808F4A5A,EA0318D3-F94F-4052-969A-847018FFD798,Ruckus ICX 7450 48 port POE+ Switch Package,RUCKUS Switches,Equipment,Bundle,10,20107.6,25134.52,0,1,,0,,"2 for PC, 1 for WH. Please provide distribution the “brocode” BRO0167 to receive this discount ",,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Ruckus ICX 7450 48 port POE+ Switch Package,updated
03491194-3C86-4956-A05A-FA07717C3D5A,BBDEBF0E-DF65-4524-9F1E-12E8EE87B549,E4B8B106-DFED-46AD-A892-82600C482A4E,"ICX7450/6610 POE 1000W AC PSU, exhaust airflow, front to back airflow",RUCKUS Accessories,Equipment,Child of bundle,0,510,637.5,0,8,,0,101BF765-B777-44A6-8E1F-837A808F4A5A,"Please provide distribution the “brocode” BRO0167 to receive this discount ICX7450/6610 POE 1000W AC PSU, exhaust airflow, front to back airflow",,"    ICX7450/6610 POE 1000W AC PSU, exhaust airflow, front to back airflow",updated
03491194-3C86-4956-A05A-FA07717C3D5A,0F0F30D6-3F9A-4993-983F-719E03C789B1,D08419A8-E90E-4739-A827-BACF20B7686D,Ruckus ICX 7450 48 port POE+ Switch,RUCKUS Switches,Equipment,Child of bundle,1,2901.9,3627.38,0,4,,0,101BF765-B777-44A6-8E1F-837A808F4A5A,"3 - Core Switches Stacked - Please provide distribution the “brocode” BRO0167 to receive this discount 48-port 1 GbE switch PoE+, 3 modular slots for optional uplinks/stacking. Power supply, fan & modules need to be ordered separately",,    Ruckus ICX 7450 48 port POE+ Switch,updated
03491194-3C86-4956-A05A-FA07717C3D5A,093403D2-0660-4FEF-8C95-EDD0BB5FA9D4,6EBD71B3-466B-488A-84FD-D852770BBD6A,Ruckus ICX 7450 4-port 1/10GbE SFP+ Module,RUCKUS Accessories,Equipment,Child of bundle,2,340,425,0,11,,0,101BF765-B777-44A6-8E1F-837A808F4A5A,Please provide distribution the “brocode” BRO0167 to receive this discount ICX 7450 4-port 1/10GbE SFP+ Module,,    Ruckus ICX 7450 4-port 1/10GbE SFP+ Module,updated
03491194-3C86-4956-A05A-FA07717C3D5A,19EF4285-79C9-4DD7-9A8A-AEEEA45AD645,FB507BEA-A8D1-4D6E-9BD4-D524E6AA6889,"ICX 7450 exhaust airflow fan, front to back airflow",RUCKUS Accessories,Equipment,Child of bundle,3,85,106.25,0,8,,0,101BF765-B777-44A6-8E1F-837A808F4A5A,"Please provide distribution the “brocode” BRO0167 to receive this discount ICX 7450 exhaust airflow fan, front to back airflow (two fans required when using two power supplies)",,"    ICX 7450 exhaust airflow fan, front to back airflow",updated
03491194-3C86-4956-A05A-FA07717C3D5A,D329203B-5606-4F4A-9AA0-1572204912AE,F5BBD6BC-A1A9-4D14-81A0-C87EB99F698D,Ruckus ICX 7150 24-port PoE+ Switch with 4x1Gig SFP ports,RUCKUS Switches,Equipment,Not Bundle Item,15,691.2,864,0,5,,0,,"IDF B3 x2, IDF 8th floor x1, ISP SW x1 --- IDF 22nd fl WH x1 Please provide distribution the “brocode” BRO0167 to receive this discount ICX 7150 Switch, 24x 10/100/1000 PoE+ ports, 2x 1G RJ45 uplink-ports, 4x 1G SFP uplink ports upgradable to up to 4x 10G SFP+ with license, 370W PoE budget, basic L3 (static routing and RIP)Price update 10/4/21",,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Ruckus ICX 7150 24-port PoE+ Switch with 4x1Gig SFP ports,updated
03491194-3C86-4956-A05A-FA07717C3D5A,DD13E81B-F630-430D-A593-321247A0C19A,D2347B34-9F00-4CED-9344-D132B698EA38,Ruckus ICX 7150 48-port PoE+ Switch with 4x1Gig SFP ports,RUCKUS Switches,Equipment,Not Bundle Item,16,1447.2,1809,0,9,,0,,"IDF 8th floor x3, IDF 11th Floor x4 ------- IDF 22nd fl WH x2 Please provide distribution the “brocode” BRO0167 to receive this discount 48-port 1 GbE switch PoE+ 740W with 2x1G RJ45 uplink-ports, 2x1G SFP (upgradable to 10GbE) uplink-ports.  basic L3 (static routing and RIP)Price update 10/4/21",,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Ruckus ICX 7150 48-port PoE+ Switch with 4x1Gig SFP ports,updated
03491194-3C86-4956-A05A-FA07717C3D5A,CFE41DEC-6DAF-4367-B5B7-70EDE32DC366,228A7C0B-AD0D-4935-AB0B-5046A7788E03,"Ruckus ICX 7150 12-port 1 GbE Compact Switch, PoE+ 124W with 2x1G RJ45 uplink-ports, AND rack mount",RUCKUS Switches,Equipment,Not Bundle Item,17,474,592.5,0,1,Comes with Wall mount,0,,"IDF 22nd fl WH x1 For PMS integrations where we are not HSIA providerPlease provide distribution the “brocode” BRO0167 to receive this discount Includes ICX7000-C12-RMK In Item when ordering.12-port 1 GbE Compact Switch, PoE+ 124W with 2x1G RJ45 uplink-ports, 2x1G SFP (upgradable to 10GbE) uplink-ports.  basic L3 (static routing and RIP)Price update 10/4/21",,"=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Ruckus ICX 7150 12-port 1 GbE Compact Switch, PoE+ 124W with 2x1G RJ45 uplink-ports, AND rack mount",updated
03491194-3C86-4956-A05A-FA07717C3D5A,99592E63-A579-436D-AF8E-7B311F49B35A,1B9862D6-0BFE-49A1-BA8D-E690E3BB3261,License to upgrade any ICX 7150 24-port or 48-port model from 4x1G SFP to 4x10G SFP,RUCKUS Switches,Equipment,Not Bundle Item,18,382.5,478.13,0,4,,0,,"3 x incase we need - MDF ISP SW, IDF 8 .14, IDF 11th .18 ----------- IDF 22nd fl WH x1 EOS 7/1/27CoE certificate license to upgrade any ICX 7150 24-port or 48-port model from 4x 1G SFP to 4x 10G SFP+ uplink ports. Also includes L3 features (OSPF, VRRP, PIM, PBR)",,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===License to upgrade any ICX 7150 24-port or 48-port model from 4x1G SFP to 4x10G SFP,updated
03491194-3C86-4956-A05A-FA07717C3D5A,569332B6-64F6-43BE-996D-F74119ADF87E,DA906FE8-667B-4B98-B2AF-AFBC9E7CAF6A,License to upgrade any ICX 7150 24-port or 48-port model from 4x1G SFP to 2x1G SFP & 2x10G SFP,RUCKUS Switches,Equipment,Not Bundle Item,19,191.25,239.06,0,11,,0,,The rest of the switches ----  EOS 7/1/27CoE certificate license to upgrade any ICX 7150 24-port or 48-port model from 4x 1G SFP to 2x 1G SFP & 2x 10G SFP+ uplink ports.,,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===License to upgrade any ICX 7150 24-port or 48-port model from 4x1G SFP to 2x1G SFP & 2x10G SFP,updated
03491194-3C86-4956-A05A-FA07717C3D5A,C7A9826F-043D-4320-90FA-E1F894504ECA,152D33D0-E90A-401A-BF72-3F634A94F088,"Ruckus Direct Attached SFP Passive Copper Cable 1 m, 1 pack",RUCKUS Accessories,Equipment,Not Bundle Item,20,46.38,57.98,0,5,,0,,"Stacking the Core SWs - Please provide distribution the “brocode” BRO0167 to receive this discount 10GbE Direct Attach SFP+ to SFP+ Passive copper cable, 1 m",,"=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Ruckus Direct Attached SFP Passive Copper Cable 1 m, 1 pack",updated
03491194-3C86-4956-A05A-FA07717C3D5A,5F70C178-EE0E-4E8E-976A-2F16A468BD3E,778461B0-7FC7-48EE-A3CB-20DD61E74D78,"Ruckus Direct Attached SFP Passive Copper Cable 5 m, 1 pack",RUCKUS Accessories,Equipment,Not Bundle Item,21,79.5,99.38,0,1,,0,,"WH - Please provide distribution the “brocode” BRO0167 to receive this discount 10GbE Direct Attach SFP+ to SFP+ Passive copper cable, 5 m",,"=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Ruckus Direct Attached SFP Passive Copper Cable 5 m, 1 pack",updated
03491194-3C86-4956-A05A-FA07717C3D5A,B343DCD8-AEDF-42DA-8666-2B26F0C22B10,16AFC187-21B2-466B-8AE2-FF6ECF7B99B5,Fiber Patch Cable MM 50/125 - LC to LC (5 meter),Fiber Patch Cables,Equipment,Not Bundle Item,22,23,28.75,0,6,,0,,"MDF Core SW to ISP SW x2, ISP modem to ISP SW x2. - if needed ASK INSTALL TECH FOR LENGTH ",,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Fiber Patch Cable MM 50/125 - LC to LC (5 meter),updated
03491194-3C86-4956-A05A-FA07717C3D5A,319477BF-E539-45A9-A28D-A0300F544A4E,3EB4C4CB-C265-4514-9D8C-630BE2C93716,"12 starands - Fiber Indoor Armored Plenum, MM 50/125 OM3 cable terminated with LC connectors",Equipment,Equipment,Not Bundle Item,23,2807.5,3509.38,0,1,,0,,"ASK INSTALL TECH FOR LENGTH!!!    2 x 100', 1 x 150', 1 x 200' ---------------------------- https://www.discount-low-voltage.com/Cable/Preterminated-OM3-Indoor-Armored/PT12LC35P",,"=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===12 starands - Fiber Indoor Armored Plenum, MM 50/125 OM3 cable terminated with LC connectors",updated
03491194-3C86-4956-A05A-FA07717C3D5A,3D8EBEB5-6FF5-41CF-8054-68932BDFE872,BDE2B4A9-6D4E-4DF7-81F4-35B8B62B2340,"Ruckus 10GBASE-SR, SFPP MMF LC Connector - 8 Pack",RUCKUS Accessories,Equipment,Not Bundle Item,24,667.8,834.75,0,3,,0,,we will need 28,,"=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Ruckus 10GBASE-SR, SFPP MMF LC Connector - 8 Pack",updated
03491194-3C86-4956-A05A-FA07717C3D5A,18A69CE8-ADF6-4400-95A1-D64916B067CB,D747F77E-AC7B-4E9E-BF13-62B0A8F61159,"Ruckus 10GBASE-SR,SFPP MMF LC CONNECTOR (No TAA)",RUCKUS Accessories,Equipment,Not Bundle Item,25,95.4,119.25,0,5,,0,,need 28,,"=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Ruckus 10GBASE-SR,SFPP MMF LC CONNECTOR (No TAA)",updated
03491194-3C86-4956-A05A-FA07717C3D5A,6517893D-7421-4385-841C-E5C5C3696316,16AFC187-21B2-466B-8AE2-FF6ECF7B99B5,Fiber Patch Cable MM 50/125 - LC to LC (5 meter),Fiber Patch Cables,Equipment,Not Bundle Item,26,23,28.75,0,28,,0,,"will need 28, adding a few more longer also. ",,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Fiber Patch Cable MM 50/125 - LC to LC (5 meter),updated
03491194-3C86-4956-A05A-FA07717C3D5A,6655C71A-2FE3-4136-947A-E7D41D9C1D1D,3251B06F-05F6-4AEC-AEA3-FA643A4A1424,Fiber Patch Cable MM 50/125 - LC to LC (10 meter),Fiber Patch Cables,Equipment,Not Bundle Item,27,26,32.5,0,4,,0,,"on 8th floor we might need longer 1 switch named 7th floor IDF, I hope 10M will be enough. 3 extra in case we need",,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Fiber Patch Cable MM 50/125 - LC to LC (10 meter),updated
03491194-3C86-4956-A05A-FA07717C3D5A,D4449CA4-4897-46DB-850C-6D1D348034F3,E584F53C-A838-444C-921C-312ABCC9AA52,1U Rackmount Fiber Tray - 3 Panel,Fiber Misc.,Equipment,Not Bundle Item,28,112.75,140.94,0,4,,0,,MDF and 3 IDFs,,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===1U Rackmount Fiber Tray - 3 Panel,updated
03491194-3C86-4956-A05A-FA07717C3D5A,4E9DE170-688B-4278-9E8B-F620C5C36B21,3686BE6E-85E3-464A-91C5-E66362DAD4E9,6-Port (12F) Loaded LC SM Adapter Panel,Fiber Misc.,Equipment,Not Bundle Item,29,47,58.75,0,6,,0,,"MDF x3, All IDFs is 1",,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===6-Port (12F) Loaded LC SM Adapter Panel,updated
03491194-3C86-4956-A05A-FA07717C3D5A,9AD80D4F-10FB-4AAA-8231-F0AFD20FF82C,EE52C2A6-6721-42A2-BEA3-B6BFF12BC25F,Blank Fiber Enclosure Adapter Panel,Fiber Misc.,Equipment,Not Bundle Item,30,7.65,9.56,0,6,,0,,all IDF needs 2.,,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Blank Fiber Enclosure Adapter Panel,updated
03491194-3C86-4956-A05A-FA07717C3D5A,CCD475A8-EB8A-467C-A335-492BCD28E622,883F2F29-F96C-427F-A963-F505E0054DD3,WattBox 800 Series P+ 12 Controlled Mount Power Conditioner,UPS & Power Strips,Equipment,Not Bundle Item,31,431.95,539.94,0,1,,0,,SNAPAV Price update 11/17/21,,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===WattBox 800 Series P+ 12 Controlled Mount Power Conditioner,updated
03491194-3C86-4956-A05A-FA07717C3D5A,761E15D0-AED8-4FBE-A251-E8D5C713888C,AC93AF1E-72DC-4A47-B8F7-0CE3BCCFF4D5,"Tripp Lite 2200VA Smart UPS Back Up, Sine Wave, 1920W, 7 Outlets, (2U)",UPS & Power Strips,Equipment,Not Bundle Item,32,999,1248.75,0,2,"Smart Rackmount AVR LCD 120V USB DB9 SNMP 2URM, 8 Outlets",0,,"W17.5""xD19""xH3.5"" Cord Length 10 ft.New price 2-2021 - Check Amazon also, they have cheaper sometimes.",,"=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Tripp Lite 2200VA Smart UPS Back Up, Sine Wave, 1920W, 7 Outlets, (2U)",updated
03491194-3C86-4956-A05A-FA07717C3D5A,06C1CE9F-8ECF-4C13-AF39-E57B639CD3E0,2B53F794-6B54-4FC2-95A8-D454A853752E,"Tripp Lite Smart Pro Digital 1500VA, 900W, 8 Outlets, Line Interactive UPS (2U)",UPS & Power Strips,Equipment,Not Bundle Item,33,288.55,360.69,0,1,,0,,https://www.newegg.com/Product/Product.aspx?item=N82E16842111052 - Price update 9/30/21 per Rachel,,"=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Tripp Lite Smart Pro Digital 1500VA, 900W, 8 Outlets, Line Interactive UPS (2U)",updated
03491194-3C86-4956-A05A-FA07717C3D5A,B8B80C39-3A09-49C3-AB1B-B0496855FE2C,4524AF39-F648-45E7-A846-4D789D79AEA2,Misc Equipment Package,Misc. Equipment,Equipment,Bundle,34,2132.48,2665.6,0,1,"Cable Management, miscellaneous equipment, patch cables, racks, etc.",0,,Use this to create packages inside your equipment list,,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Misc Equipment Package,updated
03491194-3C86-4956-A05A-FA07717C3D5A,B0D38811-3105-4BED-8469-FE720AC3A126,36452AC6-3483-4449-8326-96B2635DA2F8,Patch Cable 1' Cat6 RJ45,Ethernet Patch Cables,Equipment,Child of bundle,0,2,2.5,0,8,,0,B8B80C39-3A09-49C3-AB1B-B0496855FE2C,Red,,    Patch Cable 1' Cat6 RJ45,updated
03491194-3C86-4956-A05A-FA07717C3D5A,838DF80F-58AD-4469-9B9C-85A54D094C93,50104E3D-E7D3-4930-AEBA-17CCC0CB9194,Patch Cable 5' Cat6 RJ45,Ethernet Patch Cables,Equipment,Child of bundle,1,2.56,3.2,0,8,,0,B8B80C39-3A09-49C3-AB1B-B0496855FE2C,Red,,    Patch Cable 5' Cat6 RJ45,updated
03491194-3C86-4956-A05A-FA07717C3D5A,125FD0FC-EE29-4997-92CB-5E9B8F6A89CC,36452AC6-3483-4449-8326-96B2635DA2F8,Patch Cable 1' Cat6 RJ45,Ethernet Patch Cables,Equipment,Child of bundle,2,2,2.5,0,125,,0,B8B80C39-3A09-49C3-AB1B-B0496855FE2C,"White - in the room we will use the existing ones, these are just extra in case ",,    Patch Cable 1' Cat6 RJ45,updated
03491194-3C86-4956-A05A-FA07717C3D5A,759F78D4-8DA0-4CFA-A746-53BECAEEBF4F,50104E3D-E7D3-4930-AEBA-17CCC0CB9194,Patch Cable 5' Cat6 RJ45,Ethernet Patch Cables,Equipment,Child of bundle,3,2.56,3.2,0,350,,0,B8B80C39-3A09-49C3-AB1B-B0496855FE2C,Yellow ,,    Patch Cable 5' Cat6 RJ45,updated
03491194-3C86-4956-A05A-FA07717C3D5A,DE7DDA49-9315-4C69-9B5F-8CD7AAECE29E,4122B190-0BBF-40E2-83E9-4C3B28711991,Misc. Equipment,Misc. Equipment,Equipment,Child of bundle,4,950,1187.5,0,1,,0,B8B80C39-3A09-49C3-AB1B-B0496855FE2C,,,    Misc. Equipment,updated
03491194-3C86-4956-A05A-FA07717C3D5A,6CD7FACF-8AC8-4C1A-B6C9-1BE61C2988A3,261E34D2-4374-4220-978F-D713E80C56B0,Labor & Travel Package,Installation,Installation,Bundle,40,14685,30902,0,1,Includes all travel and per diem expenses.,0,,You can use this to create Labor & Travel packages ,,=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Labor & Travel Package,updated
03491194-3C86-4956-A05A-FA07717C3D5A,AFDE7245-87AD-420B-A32B-49128B8BBD87,CB80C62B-8A0F-4F68-ACE9-93D7B80F6302,FUSION Setup Fee,Installation,Installation,Child of bundle,0,35,100,0,10,,0,6CD7FACF-8AC8-4C1A-B6C9-1BE61C2988A3,"Look at the how many hours are needed $40 cost and $100 price per hour. Example: 2 hours is $80 cost, and $200 Price",,    FUSION Setup Fee,updated
03491194-3C86-4956-A05A-FA07717C3D5A,98B87F0A-E293-4434-A6F9-C0F1E23E7A31,59BB3B3D-C6CC-4933-81C3-F62BB20A3017,Wifi Labor,Installation,Installation,Child of bundle,1,40,100,0,130,,0,6CD7FACF-8AC8-4C1A-B6C9-1BE61C2988A3,2 techs 15 days ---- 13.5 days Wi-Fi and 1.5 days fiber run ------- added 2 days heatmapping for the HIS tech so the total will be 14 days with the heatmapping,,    Wifi Labor,updated
03491194-3C86-4956-A05A-FA07717C3D5A,46C0BCF3-0550-47B2-A519-6F163B50D4A4,54747969-7115-4990-9D81-D0AE69D05012,Field Nation WiFi Installation,Installation,Installation,Child of bundle,2,50,100,0,106,,0,6CD7FACF-8AC8-4C1A-B6C9-1BE61C2988A3,1 tech 14 days - here The COST is what we will be paying Field Nation for the Install work.,,    Field Nation WiFi Installation,updated
03491194-3C86-4956-A05A-FA07717C3D5A,4CCD503D-62D3-46DF-87B3-CF2363A910A4,22813516-FA0C-4D9E-9D43-F820DB381E10,Fiber Labor ,Installation,Installation,Child of bundle,3,50,150,0,18,,0,6CD7FACF-8AC8-4C1A-B6C9-1BE61C2988A3,2 techs 1.5 days,,    Fiber Labor ,updated
03491194-3C86-4956-A05A-FA07717C3D5A,0EDD730E-19D1-4955-A06F-1DC6F88487AC,AB5D2D86-3BE9-41BA-847C-402F9BD9704E,Airfare Costs,Travel,Installation,Child of bundle,4,650,750,0,1,,0,6CD7FACF-8AC8-4C1A-B6C9-1BE61C2988A3,,,    Airfare Costs,updated
03491194-3C86-4956-A05A-FA07717C3D5A,63064B6B-040B-4A9E-91F3-7A4D49D5C7F0,7DB37957-53D3-4840-A0D5-71F2F2C68593,Food Costs,Travel,Installation,Child of bundle,5,75,90,0,21,,0,6CD7FACF-8AC8-4C1A-B6C9-1BE61C2988A3,HIS tech only - NY price ,,    Food Costs,updated
03491194-3C86-4956-A05A-FA07717C3D5A,900AEB9B-DFEA-40A8-9927-8807617D102A,1BC0B0B5-B7E5-4A2B-877F-7ACCF74A2B09,Ground Transportation Costs,Travel,Installation,Child of bundle,6,230,322,0,1,,0,6CD7FACF-8AC8-4C1A-B6C9-1BE61C2988A3,"HIS tech only - Cabs, trains, parking, etc",,    Ground Transportation Costs,updated
03491194-3C86-4956-A05A-FA07717C3D5A,6B2D8F8F-F9A8-41EC-9213-E48FF1BF1212,4BD29F12-B1D4-467F-A853-F15CA6E3D154,Travel Time per Hour,Travel,Installation,Child of bundle,7,30,40,0,16,,0,6CD7FACF-8AC8-4C1A-B6C9-1BE61C2988A3,HIS tech only ,,    Travel Time per Hour,updated
03491194-3C86-4956-A05A-FA07717C3D5A,811607CB-7A9D-4BB4-996A-ED5912EDAC7F,79F696BF-415A-4A89-9743-0F008181D20B,"Guest Services - 24x7 Phone Support & Remote Equipment Monitoring, Portal Page, OSS backend software, terms & conditions and reports and Onsite Maintenance ",Monthly Services,Support,Not Bundle Item,49,1.95,1408,0,1,Continuation of Services 761 units ,0,, 1.85 room includes onsite,,"=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Guest Services - 24x7 Phone Support & Remote Equipment Monitoring, Portal Page, OSS backend software, terms & conditions and reports and Onsite Maintenance ",updated
03491194-3C86-4956-A05A-FA07717C3D5A,6BDF73A5-0185-466C-BCCB-EAB20D14DFB8,79F696BF-415A-4A89-9743-0F008181D20B,"Guest Services - 24x7 Phone Support & Remote Equipment Monitoring, Portal Page, OSS backend software, terms & conditions and reports and Onsite Maintenance ",Monthly Services,Support,Not Bundle Item,50,1.95,318,0,1,West House Continuation of Services  172 unit,0,, 1.85 room includes onsite,,"=== PROPOSAL: 03491194-3C86-4956-A05A-FA07717C3D5A ===Guest Services - 24x7 Phone Support & Remote Equipment Monitoring, Portal Page, OSS backend software, terms & conditions and reports and Onsite Maintenance ",updated
